"player_info","rank","bye","fantasy_pts_proj","position","to_int_proj","to_fum_proj","sack_proj","owner_2018"
"Chicago / Chi / DEF","105","6","138","DEF","16.2","10.1","45.6","mouse rat"
"Los Angeles / LAR / DEF","123","9","128","DEF","15.9","9.6","44.6","teddy bear suicide"
"New England / NE / DEF","129","10","126","DEF","14.7","10.5","39.0","He Hate Me"
"Cleveland / Cle / DEF","134","7","123","DEF","14.3","9.2","46.1","FA"
"Baltimore / Bal / DEF","137","8","120","DEF","15.3","9.2","40.8","TheFlawlessVictories"
"New Orleans / NO / DEF","152","9","116","DEF","13.8","9.6","44.7","FA"
"Los Angeles / LAC / DEF","161","12","112","DEF","13.5","9.4","42.7","FA"
"Kansas City / KC / DEF","163","12","111","DEF","13.9","9.6","42.7","FA"
"Philadelphia / Phi / DEF","164","10","110","DEF","13.6","9.4","45.9","FA"
"Minnesota / Min / DEF","166","12","110","DEF","13.2","9.1","46.7","Grey Nut Grabbers"
"Pittsburgh / Pit / DEF","167","7","109","DEF","13.4","9.3","43.2","FA"
"Indianapolis / Ind / DEF","169","6","108","DEF","13.5","9.4","43.6","WU NAME PENDING"
"Seattle / Sea / DEF","180","11","104","DEF","13.5","9.3","42.4","FA"
"Houston / Hou / DEF","183","10","104","DEF","13.1","9.1","44.3","ChildPlease"
"Jacksonville / Jax / DEF","185","10","101","DEF","13.8","8.9","41.5","The White Walkers"
"Dallas / Dal / DEF","190","8","100","DEF","12.3","9.2","40.1","FA"
"Buffalo / Buf / DEF","194","6","98","DEF","12.8","8.9","36.4","FA"
"Denver / Den / DEF","200","10","97","DEF","13.0","9.0","40.9","C$"
"Green Bay / GB / DEF","202","11","96","DEF","12.4","8.2","43.3","FA"
"Tennessee / Ten / DEF","203","11","95","DEF","12.8","8.9","36.5","TheFlawlessVictories"
"Atlanta / Atl / DEF","206","9","93","DEF","12.2","8.1","39.5","FA"
"Arizona / Ari / DEF","209","12","93","DEF","10.6","7.7","38.6","FA"
"San Francisco / SF / DEF","212","4","92","DEF","12.2","8.1","41.8","FA"
"Detroit / Det / DEF","217","5","89","DEF","12.8","8.8","39.3","Hoboken SquatCobbler"
"New York / NYJ / DEF","222","4","86","DEF","12.1","8.0","38.2","FA"
"Carolina / Car / DEF","223","7","86","DEF","12.2","8.1","38.6","FA"
"Washington / Was / DEF","228","10","85","DEF","11.8","7.9","39.3","FA"
"Cincinnati / Cin / DEF","238","9","79","DEF","10.8","7.8","36.2","The White Walkers"
"Tampa Bay / TB / DEF","240","7","78","DEF","10.8","7.9","35.4","FA"
"New York / NYG / DEF","252","11","73","DEF","9.9","7.9","32.7","FA"
"Oakland / Oak / DEF","254","6","73","DEF","9.8","6.9","28.6","FA"
"Miami / Mia / DEF","256","5","71","DEF","10.6","6.8","31.9","FA"
