"player_info","rank","bye","fantasy_pts_proj","position","pat_made_proj","owner_2018"
"Greg Zuerlein / LAR / K","66","9","171","K","54.4","He Hate Me"
"Justin Tucker / Bal / K","80","8","150","K","41.3","The White Walkers"
"Harrison Butker / KC / K","86","12","148","K","57.4","teddy bear suicide"
"Stephen Gostkowski / NE / K","91","10","144","K","48.8","Grey Nut Grabbers"
"Wil Lutz / NO / K","96","9","142","K","49.2","ChildPlease"
"Jason Myers / Sea / K","99","11","142","K","36.0","FA"
"Ka'imi Fairbairn / Hou / K","101","10","141","K","39.2","C$"
"Adam Vinatieri / Ind / K","103","6","138","K","49.7","TheFlawlessVictories"
"Brett Maher / Dal / K","107","8","135","K","37.5","FA"
"Mason Crosby / GB / K","109","11","133","K","40.0","FA"
"Robbie Gould / SF / K","111","4","133","K","39.5","Hoboken SquatCobbler"
"Graham Gano / Car / K","112","7","133","K","39.6","FA"
"Jake Elliott / Phi / K","114","10","132","K","44.4","FA"
"Michael Badgley / LAC / K","115","12","131","K","38.5","FA"
"Chris Boswell / Pit / K","117","7","130","K","48.5","mouse rat"
"Aldrick Rosas / NYG / K","118","11","130","K","31.3","FA"
"Giorgio Tavecchio / Atl / K","121","9","129","K","42.7","FA"
"Dan Bailey / Min / K","122","12","129","K","40.6","FA"
"Dustin Hopkins / Was / K","128","10","126","K","34.6","FA"
"Matt Prater / Det / K","133","5","125","K","33.1","FA"
"Stephen Hauschka / Buf / K","140","6","120","K","33.3","FA"
"Daniel Carlson / Oak / K","141","6","119","K","34.2","FA"
"Josh Lambo / Jax / K","144","10","118","K","29.8","FA"
"Ryan Succop / Ten / K","155","11","116","K","31.6","FA"
"Randy Bullock / Cin / K","158","9","114","K","36.0","FA"
"Jason Sanders / Mia / K","162","5","112","K","33.1","FA"
"Brandon McManus / Den / K","168","10","109","K","31.6","FA"
"Zane Gonzalez / Ari / K","192","12","99","K","27.8","FA"
"Cairo Santos / TB / K","379","7","22","K","7.3","FA"
"Greg Joseph / Cle / K","385","7","18","K","4.1","FA"
"Phil Dawson / Cle / K","1167","7","0","K","0","FA"
"Sebastian Janikowski / Sea / K","1168","11","0","K","0","FA"
"Nick Rose / LAC / K","1169","12","0","K","0","FA"
"Taylor Bertolet / NYJ / K","1170","4","0","K","0","FA"
"Kai Forbath / Jax / K","1171","10","0","K","0","FA"
"Jonathan Brown / SF / K","1172","4","0","K","0","FA"
"Sam Ficken / GB / K","1173","11","0","K","0","FA"
"Matt Bryant / Atl / K","1174","9","0","K","0","FA"
"Matt McCrane / Pit / K","1175","7","0","K","0","FA"
"Kaare Vedvik / Min / K","1176","12","0","K","0","FA"
"Eddy Pineiro / Chi / K","1177","6","0","K","0","FA"
"Austin Barnard / Ten / K","1178","11","0","K","0","FA"
"Mike Nugent / Oak / K","1179","6","0","K","0","FA"
"Tristan Vizcaino / Cin / K","1180","9","0","K","0","FA"
"Redford Jones / Chi / K","1181","6","0","K","0","FA"
"Phillip Andersen / TB / K","1182","7","0","K","0","FA"
"Chris Blewitt / Chi / K","1183","6","0","K","0","FA"
"Cole Murphy / Ari / K","1184","12","0","K","0","FA"
"Elliott Fry / Chi / K","1185","6","0","K","0","FA"
"Matt Gay / TB / K","1186","7","0","K","0","FA"
"Austin Seibert / Cle / K","1187","7","0","K","0","FA"
"Cody Parkey / Chi / K","1188","6","0","K","0","WU NAME PENDING"
"Matthew Wright / Pit / K","1189","7","0","K","0","FA"
"Chandler Catanzaro / NYJ / K","1190","4","0","K","0","FA"
"John Baron II / Chi / K","1191","6","0","K","0","FA"
"Clayton Hatfield / Ind / K","1192","6","0","K","0","FA"
"Cole Hedlund / Ind / K","1193","6","0","K","0","FA"
"Joey Slye / Car / K","1194","7","0","K","0","FA"
"Chase McLaughlin / Buf / K","1195","6","0","K","0","FA"
