"player_info","rank","bye","fantasy_pts_proj","position","pass_td_proj","pass_yds_proj","pass_int_proj","owner_2018"
"Patrick Mahomes / KC / QB","1","12","386","QB","43.5","5023","14.9","TheFlawlessVictories"
"Aaron Rodgers / GB / QB","2","11","317","QB","32.4","4573","6.1","ChildPlease"
"Andrew Luck / Ind / QB","4","6","307","QB","33.7","4699","12.2","Grey Nut Grabbers"
"Russell Wilson / Sea / QB","5","11","304","QB","32.4","3952","8.9","He Hate Me"
"Baker Mayfield / Cle / QB","6","7","303","QB","33.8","4668","12.7","WU NAME PENDING"
"Deshaun Watson / Hou / QB","7","10","302","QB","27.8","4129","10.5","The White Walkers"
"Cam Newton / Car / QB","8","7","298","QB","27.2","3912","12.1","TheFlawlessVictories"
"Jared Goff / LAR / QB","9","9","295","QB","33.1","4867","13.0","C$"
"Drew Brees / NO / QB","10","9","292","QB","32.1","4441","7.5","C$"
"Carson Wentz / Phi / QB","11","10","282","QB","29.7","4380","9.6","mouse rat"
"Mitchell Trubisky / Chi / QB","12","6","280","QB","29.2","4055","14.3","teddy bear suicide"
"Matt Ryan / Atl / QB","13","9","279","QB","31.1","4689","8.9","teddy bear suicide"
"Kirk Cousins / Min / QB","14","12","276","QB","31.7","4630","11.9","FA"
"Ben Roethlisberger / Pit / QB","16","7","275","QB","32.2","4814","15.1","Hoboken SquatCobbler"
"Dak Prescott / Dal / QB","17","8","274","QB","25.5","3892","8.7","FA"
"Lamar Jackson / Bal / QB","18","8","273","QB","17.1","3005","6.6","FA"
"Jameis Winston / TB / QB","20","7","262","QB","29.6","4292","15.7","FA"
"Philip Rivers / LAC / QB","21","12","259","QB","32.5","4579","12.5","mouse rat"
"Jimmy Garoppolo / SF / QB","22","4","254","QB","29.1","4452","13.0","FA"
"Tom Brady / NE / QB","23","10","252","QB","28.9","4427","10.1","WU NAME PENDING"
"Josh Allen / Buf / QB","24","6","247","QB","18.3","3476","14.6","teddy bear suicide"
"Andy Dalton / Cin / QB","28","9","235","QB","28.1","4088","14.5","FA"
"Kyler Murray / Ari / QB","29","12","232","QB","19.3","3603","8.7","FA"
"Sam Darnold / NYJ / QB","32","4","230","QB","27.1","3972","14.9","FA"
"Derek Carr / Oak / QB","34","6","226","QB","26.2","4273","13.1","FA"
"Marcus Mariota / Ten / QB","37","11","222","QB","19.0","3721","12.5","FA"
"Nick Foles / Jax / QB","39","10","213","QB","25.0","3783","12.1","FA"
"Matthew Stafford / Det / QB","49","5","201","QB","23.9","3957","12.8","FA"
"Joe Flacco / Den / QB","64","10","174","QB","21.0","3619","13.7","FA"
"Eli Manning / NYG / QB","68","11","170","QB","20.2","3879","13.0","FA"
"Ryan Fitzpatrick / Mia / QB","102","5","139","QB","14.2","1910","11.0","FA"
"Case Keenum / Was / QB","178","10","106","QB","12.9","2096","10.2","FA"
"Josh Rosen / Mia / QB","208","5","87","QB","9.6","1561","6.0","FA"
"Taysom Hill / NO / QB","333","9","38","QB","0","112","0","FA"
"Drew Stanton / Cle / QB","432","7","0","QB","0","0","0","FA"
"Taylor Heinicke / Car / QB","434","7","0","QB","0","0","0","FA"
"Blaine Gabbert / TB / QB","437","7","0","QB","0","0","0","FA"
"Tyrod Taylor / LAC / QB","454","12","0","QB","0","0","0","FA"
"Paxton Lynch / Sea / QB","462","11","0","QB","0","0","0","FA"
"Chad Henne / KC / QB","465","12","0","QB","0","0","0","FA"
"Jacoby Brissett / Ind / QB","468","6","0","QB","0","0","0","FA"
"Cody Kessler / Phi / QB","469","10","0","QB","0","0","0","FA"
"Connor Cook / Det / QB","471","5","0","QB","0","0","0","FA"
"Cardale Jones / LAC / QB","476","12","0","QB","0","0","0","FA"
"Kevin Hogan / Den / QB","480","10","0","QB","0","0","0","FA"
"Josh Johnson / Det / QB","488","5","0","QB","0","0","0","FA"
"Nate Sudfeld / Phi / QB","490","10","0","QB","0","0","0","FA"
"Jake Rudock / Mia / QB","492","5","0","QB","0","0","0","FA"
"Brandon Allen / LAR / QB","496","9","0","QB","0","0","0","FA"
"Jeff Driskel / Cin / QB","498","9","0","QB","0","0","0","FA"
"Joe Callahan / Bal / QB","528","8","0","QB","0","0","0","FA"
"Mark Sanchez / Was / QB","529","10","0","QB","0","0","0","FA"
"Robert Griffin III / Bal / QB","538","8","0","QB","0","0","0","FA"
"Trevone Boykin / Sea / QB","539","11","0","QB","0","0","0","FA"
"Ryan Tannehill / Ten / QB","540","11","0","QB","0","0","0","FA"
"Brandon Weeden / Hou / QB","544","10","0","QB","0","0","0","FA"
"Brock Osweiler / Mia / QB","549","5","0","QB","0","0","0","FA"
"Josh Woodrum / Was / QB","552","10","0","QB","0","0","0","FA"
"Brian Hoyer / NE / QB","570","10","0","QB","0","0","0","FA"
"Chase Daniel / Chi / QB","581","6","0","QB","0","0","0","FA"
"DeShone Kizer / GB / QB","582","11","0","QB","0","0","0","FA"
"Davis Webb / NYJ / QB","585","4","0","QB","0","0","0","FA"
"C.J. Beathard / SF / QB","587","4","0","QB","0","0","0","FA"
"Joshua Dobbs / Pit / QB","594","7","0","QB","0","0","0","FA"
"Nathan Peterman / Oak / QB","601","6","0","QB","0","0","0","FA"
"Chad Kelly / Ind / QB","617","6","0","QB","0","0","0","FA"
"Matt Simms / Atl / QB","624","9","0","QB","0","0","0","FA"
"Phillip Walker / Ind / QB","645","6","0","QB","0","0","0","FA"
"Josh McCown / Phi / QB","646","10","0","QB","0","0","0","FA"
"Nick Mullens / SF / QB","650","4","0","QB","0","0","0","FA"
"Alex Tanney / NYG / QB","661","11","0","QB","0","0","0","FA"
"EJ Manuel / KC / QB","672","12","0","QB","0","0","0","FA"
"Geno Smith / Sea / QB","676","11","0","QB","0","0","0","FA"
"Cooper Rush / Dal / QB","680","8","0","QB","0","0","0","FA"
"Mike Glennon / Oak / QB","681","6","0","QB","0","0","0","FA"
"Matt Barkley / Buf / QB","686","6","0","QB","0","0","0","FA"
"Kyle Sloter / Min / QB","687","12","0","QB","0","0","0","FA"
"Landry Jones / Oak / QB","690","6","0","QB","0","0","0","FA"
"Ryan Griffin / TB / QB","709","7","0","QB","0","0","0","FA"
"Mason Rudolph / Pit / QB","710","7","0","QB","0","0","0","FA"
"Kyle Lauletta / NYG / QB","711","11","0","QB","0","0","0","FA"
"Mike White / Dal / QB","720","8","0","QB","0","0","0","FA"
"Luke Falk / NYJ / QB","725","4","0","QB","0","0","0","FA"
"Tanner Lee / Jax / QB","727","10","0","QB","0","0","0","FA"
"Danny Etling / Atl / QB","730","9","0","QB","0","0","0","FA"
"Alex McGough / Jax / QB","731","10","0","QB","0","0","0","FA"
"Logan Woodside / Ten / QB","737","11","0","QB","0","0","0","FA"
"Tyler Bray / Chi / QB","750","6","0","QB","0","0","0","FA"
"Kyle Allen / Car / QB","757","7","0","QB","0","0","0","FA"
"Charles Kanoff / Ari / QB","759","12","0","QB","0","0","0","FA"
"Kurt Benkert / Atl / QB","768","9","0","QB","0","0","0","FA"
"J.T. Barrett IV / Sea / QB","773","11","0","QB","0","0","0","FA"
"Matt Schaub / Atl / QB","787","9","0","QB","0","0","0","FA"
"Tim Boyle / GB / QB","789","11","0","QB","0","0","0","FA"
"Chase Litton / KC / QB","800","12","0","QB","0","0","0","FA"
"Blake Bortles / LAR / QB","824","9","0","QB","0","0","0","FA"
"Teddy Bridgewater / NO / QB","831","9","0","QB","0","0","0","FA"
"Brogan Roback / Pit / QB","839","7","0","QB","0","0","0","FA"
"Luis Perez / Phi / QB","848","10","0","QB","0","0","0","FA"
"Alex Smith / Was / QB","856","10","0","QB","0","0","0","FA"
